id,Job_Type,Short,Element,Work_Categories,Work_Sub_Category_Types,Work_Sub_Category_Attributes,Medium
Asbestos Removal Cost,,,,,,,
Drone Cost,,,,,,,
L01,,Roofing VCS and Gutter Clean,,,,,
Adjustment to Invoice Balance,,,,,,,
Call Out Charge,,,,,,,
Supplied and Fitted Bird Guards,,,,,,,
098005,CLIENT INSPECTION,DRAINAGE,DRAINAGE,Miscellaneous Works,Drainage – Client Inspections,,"Client Inspection:Undertake client inspection, testing etc in connection with drainage,report to Client Representative (any repairs required to be ordered must be instructed CR)."
101517,CHIMNEY BREAST,REBUILD IN ROOF SPACE,BRICKWORK,Brick/Block Walling,Walls,Rebuilding,"Chimney Breast:Demolish as necessary, clean off, rebuild chimney breast in roof space, in common bricks, bed and point in mortar (1:1:6) to match existing and remove spoil."
110001,DPC,INSTALL NEW CAVITY TRAY DPC,BRICKWORK,Brick/Block Walling,Damp Proof Courses,,"DPC:Cut out three courses of brickwork to external skin, chase internal skin, lay polypropylene base cavity tray, relay brickwork in mortar (1:1:6) and treat with waterproof solution and remove spoil."
110003,DPC,INSTALL PROPRIETARY CAVITY TRAY DPC,BRICKWORK,Brick/Block Walling,Damp Proof Courses,,"DPC:Cut out external skin of brick/block/stone/ reconstructed stone wall, chase internal skin, build in proprietary cavity tray, relay wall in mortar (1:1:6), point to match, remove spoil."
115001,AIRBRICK,RENEW WITH PVC,BRICKWORK,Airbricks and Vents,Airbricks,,"Airbrick:Cut out existing airbrick and renew with 225x150mm PVC ventilator, bed and point in cement lime mortar (1:1:6) and make good any finishes, remove spoil."
115003,AIRBRICK,INSTALL NEW PVC VENT,BRICKWORK,Airbricks and Vents,Airbricks,,"Airbrick:Cut or form opening in wall and insert 225x150mm PVC ventilator, bed, point in mortar (1:1:6), insert cavity lining and internal vent with flyscreen, make good finishes, remove spoil."
115005,AIRBRICK,RENEW CLAY OR CONCRETE VENT,BRICKWORK,Airbricks and Vents,Airbricks,,"Airbrick:Cut out existing airbrick and renew with 225x150mm clay/ concrete ventilator, bed and point in cement lime mortar (1:1:6) and make good any finishes, remove spoil."
115007,AIRBRICK,INSTALL NEW CLAY OR CONCRETE VENT,BRICKWORK,Airbricks and Vents,Airbricks,,"Airbrick:Cut or form opening in wall and insert 225x150mm clay/concrete ventilator, bed, point in mortar (1:1:6), insert cavity lining, internal vent with flyscreen, make good, remove spoil."
115009,AIRBRICK,REBED LOOSE VENT,BRICKWORK,Airbricks and Vents,Airbricks,,Vent:Take out loose ventilator or airbrick and rebed and point in cement lime mortar (1:1:6) to match existing.
115011,VENTILATOR,RENEW PVC OR ALUMINIUM,BRICKWORK,Airbricks and Vents,Ventilators,,"Ventilator:Supply and fix 225x150mm Hit and Miss PVC or aluminium ventilator grille fixed to any background including remove any existing ventilator, make good to all finishes, remove spoil."
115012,VENT,INSTALL PROPRIETARY VENT KIT,BRICKWORK,Airbricks and Vents,Ventilators,,"Vent:Supply and install approx. 125mm diameter proprietary ventilator kit complete including core drill openings through external/internal cavity walls, install vent kit, make good, remove spoil."
115014,VENT,INSTALL TUMBLE VENT KIT,BRICKWORK,Airbricks and Vents,Ventilators,,"Vent:Supply and install approx. 100mm diameter tumble drier vent kit complete including 3 metre length of 100mm flexible pvc ducting, cut openings in walls, install kit, make good, remove spoil."
120001,CHIMNEY,REBUILD 4 COURSE 1 FLUE,BRICKWORK,Chimneys,Chimney Stacks,,"Chimney:Take down and rebuild 4 courses to single flue stack, clean/store bricks, rebuild, renew any defective bricks, refix/renew pot, liner, pcc capping, flashings, dpc, make good, remove spoil."
120003,CHIMNEY,REBUILD 1 COURSE 1 FLUE,BRICKWORK,Chimneys,Chimney Stacks,,Chimney:Extra to take down and rebuild single flue stack for each additional course taken down and rebuilt.
120005,CHIMNEY,REBUILD 4 COURSE 2 FLUE,BRICKWORK,Chimneys,Chimney Stacks,,"Chimney:Take down and rebuild 4 courses to two flue stack, clean/store bricks, rebuild, renew any defective bricks, refix/renew pots, liners, pcc capping, flashings, dpc, make good, remove spoil"
120007,CHIMNEY,REBUILD 1 COURSE 2 FLUE,BRICKWORK,Chimneys,Chimney Stacks,,Chimney:Extra to take down and rebuild two flue stack for each additional course taken down and rebuilt.
120009,CHIMNEY,REBUILD 4 COURSE 4 FLUE,BRICKWORK,Chimneys,Chimney Stacks,,"Chimney:Take down and rebuild 4 courses to four flue stack, clean/store bricks, rebuild, renew any defective bricks, refix/renew pots, liners, pcc capping, flashings, dpc, make good, remove spoil."
120011,CHIMNEY,REBUILD 1 COURSE 4 FLUE,BRICKWORK,Chimneys,Chimney Stacks,,Chimney:Extra to take down and rebuild four flue stack for each additional course taken down and rebuilt.
120013,CHIMNEY,REBUILD 4 COURSE 6 FLUE,BRICKWORK,Chimneys,Chimney Stacks,,"Chimney:Take down and rebuild 4 courses to six flue stack, clean/store bricks, rebuild, renew any defective bricks, refix/renew pots, liners, pcc capping, flashings, dpc, make good, remove spoil."
120015,CHIMNEY,REBUILD 1 COURSE 6 FLUE,BRICKWORK,Chimneys,Chimney Stacks,,Chimney:Extra to take down and rebuild six flue stack for each additional course taken down and rebuilt.
120017,CHIMNEY,REBUILD 4 COURSE 8 FLUE,BRICKWORK,Chimneys,Chimney Stacks,,"Chimney:Take down and rebuild 4 courses to eight flue stack, clean/store bricks, rebuild, renew any defective bricks, refix/renew pots, liners, pcc capping, flashings, dpc, make good, remove spoil."
120019,CHIMNEY,REBUILD 1 COURSE 8 FLUE,BRICKWORK,Chimneys,Chimney Stacks,,Chimney:Extra to take down and rebuild eight flue stack for each additional course taken down and rebuilt.
120021,CHIMNEY,DEMOLISH STACK AND MAKE GOOD ROOF,BRICKWORK,Chimneys,Chimney Stacks,,"Chimney:Demolish chimney stack complete down to below roof level, cap flues with pcc slab, cut into flues, insert 225x225mm airbricks, extend roof covering to match existing, remove spoil."
120023,CHIMNEY,SEAL FLUE,BRICKWORK,Chimneys,Chimney Stacks,,"Chimney:Remove pot and seal flue opening to chimney stack with slates bedded in mortar (1:1:6) cut out and insert air vent in chimney breast, make good all works disturbed and remove spoil."
120025,CHIMNEY,RENEW FACING BRICKS NE 6NO,BRICKWORK,Chimneys,Chimney Stacks,,"Chimney:Renew facing brick to chimney stack ne 6 No. cut out defective brick, lay new facing bricks bed, point in mortar to match existing, make good all works disturbed, remove spoil (per brick)."
120027,CHIMNEY,RENEW BRICKS NE 0.50SM,BRICKWORK,Chimneys,Chimney Stacks,,"Chimney:Renew facing bricks in chimney stack in area ne 0.50sm, cut out bricks, lay new facing bricks bed, point in mortar to match existing, make good all works disturbed remove spoil."
120029,CHIMNEY,RAKE OUT AND REPOINT STACK,BRICKWORK,Chimneys,Chimney Stacks,,"Chimney:Rake out joints to brickwork to chimney stack, minimum 12mm, and repoint in cement lime mortar (1:1:6) to match existing make good all works disturbed and remove spoil."
120031,CHIMNEY,RENEW TWO COAT RENDER TO STACK,BRICKWORK,Chimneys,Chimney Stacks,,"Chimney:Renew any thickness of render to chimney, hack off, rake out, apply 18mm two coats cement and sand render trowelled smooth, all labours, make good all works disturbed and remove spoil."
125001,CHIMNEY,BALL FLUE AND CLEAR OBSTRUCTION,BRICKWORK,Chimneys,Flue Sundries,,"Chimney:Ball chimney flue, clear obstruction and clean up including all associated work, and remove spoil."
125003,CHIMNEY,BALL FLUE REMOVE COWL,BRICKWORK,Chimneys,Flue Sundries,,"Chimney:Remove cowl, ball chimney flue, clear obstructions and clean up, refix cowl, including all associated works, and remove spoil."
125005,CHIMNEY,CLEAR BLOCKED FLUE IN ROOF,BRICKWORK,Chimneys,Flue Sundries,,"Chimney:Clear blockage from flue in roof area, cut into flue, remove blockage, rebuild and make good flue and stack and remove spoil."
125007,CHIMNEY,CLEAR BLOCK FLUE IN BREAST,BRICKWORK,Chimneys,Flue Sundries,,"Chimney:Clear blockage from flue in chimney breast, cut hole in breast and flue, remove blockage, make good to flue, breast and wall finishes and remove spoil."
125010,CHIMNEY,SWEEP FLUE - REGISTERED,BRICKWORK,Chimneys,Flue Sundries,,"Chimney:Sweep flue, including protect carpets, furniture etc., and remove spoil, work to be undertaken by a registered chimney sweep."
125011,CHIMNEY,SMOKE TEST AND REPORT,BRICKWORK,Chimneys,Flue Sundries,,Chimney:Smoke test flue including all associated work and written report to Client Representative.
130003,CHIMNEY,RENEW POT NE 900MM HIGH,BRICKWORK,Chimneys,"Chimney Pots, Caps, Cowls Etc",,"Chimney:Renew existing pot with any new pot ne 900mm high including clean off, alter existing opening to suit, bed and flaunch in cement mortar (1:3)."
130007,CHIMNEY,RENEW MARCONE NE 990MM,BRICKWORK,Chimneys,"Chimney Pots, Caps, Cowls Etc",,"Chimney:Renew existing pot with Marcone Flue terminal ne 990mm high including clean off, alter existing opening to suit, bed and flaunch in cement mortar (1:3)."
130009,CHIMNEY,REBED POT,BRICKWORK,Chimneys,"Chimney Pots, Caps, Cowls Etc",,"Chimney:Remove and refix existing pot including clean off pot and flaunching, prepare and rebed in mortar (1:3) and make good flaunching."
130011,CHIMNEY,INSTALL COLT COWL,BRICKWORK,Chimneys,"Chimney Pots, Caps, Cowls Etc",,Chimney:Supply and fix new Colt type cowl to chimney pot.
130013,CHIMNEY,INSTALL AEROCOWL TO POT,BRICKWORK,Chimneys,"Chimney Pots, Caps, Cowls Etc",,Chimney:Supply and fix new 175x150mm diameter Aerocowl to chimney pot.
130015,CHIMNEY,450MM VENTED CAP TO POT,BRICKWORK,Chimneys,"Chimney Pots, Caps, Cowls Etc",,Chimney:Supply and fix new terra cotta vented cap 450mm high to chimney pot.
130017,CHIMNEY,RENEW GC GAS TERMINAL,BRICKWORK,Chimneys,"Chimney Pots, Caps, Cowls Etc",,"Chimney:Supply and fix GC gas terminal including remove old terminal, clean off bed, alter opening to suit and bed and flaunch terminal in mortar (1:3)."
130019,CHIMNEY,RENEW GALVANISED WIRE BIRDCAGE,BRICKWORK,Chimneys,"Chimney Pots, Caps, Cowls Etc",,Chimney:Renew heavy galvanised wire birdcage to any size chimney pot including removal of old cage
