timestamp,visit_id,job_id,text_hash,pack_hash,predicted_json,corrected_json,evidence_json,notes
2025-12-17T22:46:33.228701,5783513,,d596a56ee363972d,9e75201f890edd9e,"{""221001"": 1.0, ""203517"": 1.0}","{""221001"": 1.0, ""201717"": 3.0}","{""families"": {""leadwork"": {""present"": false, ""strength"": ""NONE""}, ""tile"": {""present"": false, ""strength"": ""NONE""}, ""guttering"": {""present"": false, ""strength"": ""NONE""}, ""downpipe"": {""present"": false, ""strength"": ""NONE""}, ""ridge"": {""present"": true, ""strength"": ""SOFT""}, ""chimney"": {""present"": false, ""strength"": ""NONE""}, ""fascia"": {""present"": false, ""strength"": ""NONE""}, ""soffit"": {""present"": false, ""strength"": ""NONE""}, ""verge"": {""present"": false, ""strength"": ""NONE""}, ""valley"": {""present"": false, ""strength"": ""NONE""}}, ""measurements"": {""lead_lm"": 0.0, ""tile_area"": 0.0, ""fascia_lm"": 0.0, ""soffit_lm"": 0.0, ""rwp_present"": false, ""gutter_flag"": false}, ""intents"": [[""clean"", ""ridge""], [""rebed"", ""ridge""], [""renew"", ""ridge""]], ""text_quant_hints"": {}, ""fields_filled"": {}, ""flags"": {""clean_gutter_intent"": false, ""elevation_mentions"": false, ""scaffold_mentions"": false, ""valley_present"": false, ""verge_present"": false}, ""candidate_ranks"": [{""code"": ""221001"", ""rank"": 1, ""score"": 1.0}, {""code"": ""203517"", ""rank"": 2, ""score"": 1.0}], ""hashes"": {""text_hash"": ""d596a56ee363972d"", ""pack_hash"": ""9e75201f890edd9e""}, ""text_preview"": ""Hushed away pigeons from loft Replaced broken vent ridge on roof and rebedded down Loft is covered in bird foul and around 5 dead pigeons in loft Environmental pest control in urgent requirement of clean this loft\n \n \n \n \n \n \nNo""}",
2025-12-17T22:46:37.513212,5766899,,527738898b53e022,03f534424eab5a3e,"{""221001"": 1.0, ""603903"": 1.0}","{""221001"": 1.0, ""603903"": 2.0}","{""families"": {""leadwork"": {""present"": false, ""strength"": ""NONE""}, ""tile"": {""present"": false, ""strength"": ""NONE""}, ""guttering"": {""present"": true, ""strength"": ""SOFT""}, ""downpipe"": {""present"": false, ""strength"": ""NONE""}, ""ridge"": {""present"": false, ""strength"": ""NONE""}, ""chimney"": {""present"": false, ""strength"": ""NONE""}, ""fascia"": {""present"": false, ""strength"": ""NONE""}, ""soffit"": {""present"": false, ""strength"": ""NONE""}, ""verge"": {""present"": false, ""strength"": ""NONE""}, ""valley"": {""present"": false, ""strength"": ""NONE""}}, ""measurements"": {""lead_lm"": 0.0, ""tile_area"": 0.0, ""fascia_lm"": 0.0, ""soffit_lm"": 0.0, ""rwp_present"": false, ""gutter_flag"": false}, ""intents"": [[""clean"", ""gutter""]], ""text_quant_hints"": {}, ""fields_filled"": {}, ""flags"": {""clean_gutter_intent"": false, ""elevation_mentions"": false, ""scaffold_mentions"": false, ""valley_present"": false, ""verge_present"": false}, ""candidate_ranks"": [{""code"": ""221001"", ""rank"": 1, ""score"": 1.0}, {""code"": ""603903"", ""rank"": 2, ""score"": 1.0}], ""hashes"": {""text_hash"": ""527738898b53e022"", ""pack_hash"": ""03f534424eab5a3e""}, ""text_preview"": ""TNT not home Cleaned front gutter No access\n \n \n \n \n \n \nNo""}",
2025-12-17T22:46:41.962926,5788735,,40783e5424e4c03f,ee57ef4e0cabe98e,"{""223001"": 1.0, ""223011"": 1.0}","{""221001"": 1.0, ""231011"": 10.0}","{""families"": {""leadwork"": {""present"": false, ""strength"": ""NONE""}, ""tile"": {""present"": true, ""strength"": ""SOFT""}, ""guttering"": {""present"": false, ""strength"": ""NONE""}, ""downpipe"": {""present"": false, ""strength"": ""NONE""}, ""ridge"": {""present"": false, ""strength"": ""NONE""}, ""chimney"": {""present"": true, ""strength"": ""SOFT""}, ""fascia"": {""present"": false, ""strength"": ""NONE""}, ""soffit"": {""present"": false, ""strength"": ""NONE""}, ""verge"": {""present"": false, ""strength"": ""NONE""}, ""valley"": {""present"": false, ""strength"": ""NONE""}}, ""measurements"": {""lead_lm"": 0.0, ""tile_area"": 0.0, ""fascia_lm"": 0.0, ""soffit_lm"": 0.0, ""rwp_present"": false, ""gutter_flag"": false}, ""intents"": [], ""text_quant_hints"": {}, ""fields_filled"": {}, ""flags"": {""clean_gutter_intent"": false, ""elevation_mentions"": false, ""scaffold_mentions"": false, ""valley_present"": false, ""verge_present"": false}, ""candidate_ranks"": [{""code"": ""223001"", ""rank"": 1, ""score"": 1.0}, {""code"": ""223011"", ""rank"": 2, ""score"": 1.0}], ""hashes"": {""text_hash"": ""40783e5424e4c03f"", ""pack_hash"": ""ee57ef4e0cabe98e""}, ""text_preview"": ""back chimney and slate repairs done on back\n \n \n \n \n \n \nNo""}",
2025-12-17T22:46:57.472524,5740472,,e119891a4f51f230,4a3ff4514a110d87,"{""221001"": 1.0, ""307701"": 1.0, ""603111"": 1.0, ""303019"": 1.0}","{""303005"": 8.0, ""307501"": 2.0, ""231005"": 6.0, ""603109"": 8.0, ""318179"": 2.0, ""221001"": 1.0}","{""families"": {""leadwork"": {""present"": true, ""strength"": ""SOFT""}, ""tile"": {""present"": false, ""strength"": ""NONE""}, ""guttering"": {""present"": true, ""strength"": ""SOFT""}, ""downpipe"": {""present"": false, ""strength"": ""NONE""}, ""ridge"": {""present"": false, ""strength"": ""NONE""}, ""chimney"": {""present"": false, ""strength"": ""NONE""}, ""fascia"": {""present"": false, ""strength"": ""NONE""}, ""soffit"": {""present"": false, ""strength"": ""NONE""}, ""verge"": {""present"": false, ""strength"": ""NONE""}, ""valley"": {""present"": false, ""strength"": ""NONE""}}, ""measurements"": {""lead_lm"": 0.0, ""tile_area"": 0.0, ""fascia_lm"": 0.0, ""soffit_lm"": 0.0, ""rwp_present"": false, ""gutter_flag"": false}, ""intents"": [[""refix"", ""gutter""], [""renew"", ""flashing""]], ""text_quant_hints"": {}, ""fields_filled"": {}, ""flags"": {""clean_gutter_intent"": false, ""elevation_mentions"": false, ""scaffold_mentions"": false, ""valley_present"": false, ""verge_present"": false}, ""candidate_ranks"": [{""code"": ""221001"", ""rank"": 1, ""score"": 1.0}, {""code"": ""307701"", ""rank"": 2, ""score"": 1.0}, {""code"": ""603111"", ""rank"": 3, ""score"": 1.0}, {""code"": ""303019"", ""rank"": 4, ""score"": 1.0}], ""hashes"": {""text_hash"": ""e119891a4f51f230"", ""pack_hash"": ""4a3ff4514a110d87""}, ""text_preview"": ""Renewed facia And cladding in pvc either side of canopy Renewed flashing above canopy Sealed window to bottom where seal had come away Repaired gutter above bedroom window where water was leaking onto canopy causing issues\n \n \n \n \n \n \nNo""}",
2025-12-17T22:47:04.755888,5740590,,ad5830637b811f52,38b17ad8f8726fbf,"{""221001"": 1.0, ""603903"": 2.0}","{""221001"": 1.0, ""603903"": 1.0}","{""families"": {""leadwork"": {""present"": false, ""strength"": ""NONE""}, ""tile"": {""present"": false, ""strength"": ""NONE""}, ""guttering"": {""present"": false, ""strength"": ""NONE""}, ""downpipe"": {""present"": false, ""strength"": ""NONE""}, ""ridge"": {""present"": false, ""strength"": ""NONE""}, ""chimney"": {""present"": false, ""strength"": ""NONE""}, ""fascia"": {""present"": false, ""strength"": ""NONE""}, ""soffit"": {""present"": false, ""strength"": ""NONE""}, ""verge"": {""present"": false, ""strength"": ""NONE""}, ""valley"": {""present"": false, ""strength"": ""NONE""}}, ""measurements"": {""lead_lm"": 0.0, ""tile_area"": 0.0, ""fascia_lm"": 0.0, ""soffit_lm"": 0.0, ""rwp_present"": false, ""gutter_flag"": false}, ""intents"": [[""clean"", ""gutter""]], ""text_quant_hints"": {""lead"": {""lm"": 5.0}}, ""fields_filled"": {}, ""flags"": {""clean_gutter_intent"": false, ""elevation_mentions"": false, ""scaffold_mentions"": false, ""valley_present"": false, ""verge_present"": false}, ""candidate_ranks"": [{""code"": ""603903"", ""rank"": 1, ""score"": 2.0}, {""code"": ""221001"", ""rank"": 2, ""score"": 1.0}], ""hashes"": {""text_hash"": ""ad5830637b811f52"", ""pack_hash"": ""38b17ad8f8726fbf""}, ""text_preview"": ""Cleaned gutters to front 5lm Unable to access rear as no alleyway and would need to go through house but tmt not home to see if possible to fit ladders through property\n \n \n \n \n \n \nNo""}",
2025-12-17T22:47:12.699285,5740566,,74cacd4b8131a2b8,38b17ad8f8726fbf,"{""221001"": 1.0, ""603903"": 2.0}","{""221001"": 1.0, ""603903"": 2.0}","{""families"": {""leadwork"": {""present"": false, ""strength"": ""NONE""}, ""tile"": {""present"": false, ""strength"": ""NONE""}, ""guttering"": {""present"": false, ""strength"": ""NONE""}, ""downpipe"": {""present"": false, ""strength"": ""NONE""}, ""ridge"": {""present"": false, ""strength"": ""NONE""}, ""chimney"": {""present"": false, ""strength"": ""NONE""}, ""fascia"": {""present"": false, ""strength"": ""NONE""}, ""soffit"": {""present"": false, ""strength"": ""NONE""}, ""verge"": {""present"": false, ""strength"": ""NONE""}, ""valley"": {""present"": false, ""strength"": ""NONE""}}, ""measurements"": {""lead_lm"": 0.0, ""tile_area"": 0.0, ""fascia_lm"": 0.0, ""soffit_lm"": 0.0, ""rwp_present"": false, ""gutter_flag"": false}, ""intents"": [[""clean"", ""gutter""]], ""text_quant_hints"": {""lead"": {""lm"": 5.0}}, ""fields_filled"": {}, ""flags"": {""clean_gutter_intent"": false, ""elevation_mentions"": false, ""scaffold_mentions"": false, ""valley_present"": false, ""verge_present"": false}, ""candidate_ranks"": [{""code"": ""603903"", ""rank"": 1, ""score"": 2.0}, {""code"": ""221001"", ""rank"": 2, ""score"": 1.0}], ""hashes"": {""text_hash"": ""74cacd4b8131a2b8"", ""pack_hash"": ""38b17ad8f8726fbf""}, ""text_preview"": ""Cleaned gutters front and rear 5lm each side\n \n \n \n \n \n \nNo""}",
2025-12-17T22:47:20.029310,5725708,,dcc251acb56f69fc,714677c4b7637842,"{""603313"": 1.0}","{""221001"": 1.0, ""603123"": 1.0}","{""families"": {""leadwork"": {""present"": false, ""strength"": ""NONE""}, ""tile"": {""present"": false, ""strength"": ""NONE""}, ""guttering"": {""present"": true, ""strength"": ""SOFT""}, ""downpipe"": {""present"": false, ""strength"": ""NONE""}, ""ridge"": {""present"": false, ""strength"": ""NONE""}, ""chimney"": {""present"": false, ""strength"": ""NONE""}, ""fascia"": {""present"": false, ""strength"": ""NONE""}, ""soffit"": {""present"": false, ""strength"": ""NONE""}, ""verge"": {""present"": false, ""strength"": ""NONE""}, ""valley"": {""present"": false, ""strength"": ""NONE""}}, ""measurements"": {""lead_lm"": 0.0, ""tile_area"": 0.0, ""fascia_lm"": 0.0, ""soffit_lm"": 0.0, ""rwp_present"": false, ""gutter_flag"": false}, ""intents"": [], ""text_quant_hints"": {}, ""fields_filled"": {}, ""flags"": {""clean_gutter_intent"": false, ""elevation_mentions"": false, ""scaffold_mentions"": false, ""valley_present"": false, ""verge_present"": false}, ""candidate_ranks"": [{""code"": ""603313"", ""rank"": 1, ""score"": 1.0}], ""hashes"": {""text_hash"": ""dcc251acb56f69fc"", ""pack_hash"": ""714677c4b7637842""}, ""text_preview"": ""put a new deepflow gutter union in\n \n \n \n \n \n \nNo""}",
2025-12-17T22:47:27.647442,5740714,,27d09dbf22c7348e,067479a349ddd177,"{""221001"": 1.0, ""201150"": 1.0, ""217103"": 1.0, ""217113"": 1.0, ""201313"": 1.0}","{""217105"": 10.0}","{""families"": {""leadwork"": {""present"": false, ""strength"": ""NONE""}, ""tile"": {""present"": false, ""strength"": ""NONE""}, ""guttering"": {""present"": false, ""strength"": ""NONE""}, ""downpipe"": {""present"": false, ""strength"": ""NONE""}, ""ridge"": {""present"": false, ""strength"": ""NONE""}, ""chimney"": {""present"": false, ""strength"": ""NONE""}, ""fascia"": {""present"": false, ""strength"": ""NONE""}, ""soffit"": {""present"": false, ""strength"": ""NONE""}, ""verge"": {""present"": false, ""strength"": ""NONE""}, ""valley"": {""present"": false, ""strength"": ""NONE""}}, ""measurements"": {""lead_lm"": 0.0, ""tile_area"": 0.0, ""fascia_lm"": 0.0, ""soffit_lm"": 0.0, ""rwp_present"": false, ""gutter_flag"": false}, ""intents"": [[""renew"", ""tile""]], ""text_quant_hints"": {}, ""fields_filled"": {}, ""flags"": {""clean_gutter_intent"": false, ""elevation_mentions"": false, ""scaffold_mentions"": false, ""valley_present"": false, ""verge_present"": false}, ""candidate_ranks"": [{""code"": ""221001"", ""rank"": 1, ""score"": 1.0}, {""code"": ""201150"", ""rank"": 2, ""score"": 1.0}, {""code"": ""217103"", ""rank"": 3, ""score"": 1.0}, {""code"": ""217113"", ""rank"": 4, ""score"": 1.0}, {""code"": ""201313"", ""rank"": 5, ""score"": 1.0}], ""hashes"": {""text_hash"": ""27d09dbf22c7348e"", ""pack_hash"": ""067479a349ddd177""}, ""text_preview"": ""Removed old flat roof and renewed New osb Mew u ferret New top felt Renewed furing Refelted just above flat roof New batton and retiled Replaced two broken tiles\n \n \n \n \n \n \nNo""}",
2025-12-17T22:47:35.953779,5785371,,f91ada617bf37839,84211d125273689b,"{""221001"": 1.0, ""601119"": 1.0}","{""221001"": 1.0, ""601111"": 1.0}","{""families"": {""leadwork"": {""present"": false, ""strength"": ""NONE""}, ""tile"": {""present"": false, ""strength"": ""NONE""}, ""guttering"": {""present"": false, ""strength"": ""NONE""}, ""downpipe"": {""present"": true, ""strength"": ""SOFT""}, ""ridge"": {""present"": false, ""strength"": ""NONE""}, ""chimney"": {""present"": false, ""strength"": ""NONE""}, ""fascia"": {""present"": false, ""strength"": ""NONE""}, ""soffit"": {""present"": false, ""strength"": ""NONE""}, ""verge"": {""present"": false, ""strength"": ""NONE""}, ""valley"": {""present"": false, ""strength"": ""NONE""}}, ""measurements"": {""lead_lm"": 0.0, ""tile_area"": 0.0, ""fascia_lm"": 0.0, ""soffit_lm"": 0.0, ""rwp_present"": false, ""gutter_flag"": false}, ""intents"": [], ""text_quant_hints"": {}, ""fields_filled"": {}, ""flags"": {""clean_gutter_intent"": false, ""elevation_mentions"": false, ""scaffold_mentions"": false, ""valley_present"": false, ""verge_present"": false}, ""candidate_ranks"": [{""code"": ""221001"", ""rank"": 1, ""score"": 1.0}, {""code"": ""601119"", ""rank"": 2, ""score"": 1.0}], ""hashes"": {""text_hash"": ""f91ada617bf37839"", ""pack_hash"": ""84211d125273689b""}, ""text_preview"": ""Reattached downpipe to wall\n \n \n \n \n \n \nNo""}",
2025-12-17T22:47:44.196807,5645788,,c13792b5835f7eeb,dbda3b366ba3dfbb,"{""221001"": 1.0}","{""221001"": 1.0, ""601101"": 1.0}","{""families"": {""leadwork"": {""present"": false, ""strength"": ""NONE""}, ""tile"": {""present"": false, ""strength"": ""NONE""}, ""guttering"": {""present"": false, ""strength"": ""NONE""}, ""downpipe"": {""present"": false, ""strength"": ""NONE""}, ""ridge"": {""present"": false, ""strength"": ""NONE""}, ""chimney"": {""present"": false, ""strength"": ""NONE""}, ""fascia"": {""present"": false, ""strength"": ""NONE""}, ""soffit"": {""present"": false, ""strength"": ""NONE""}, ""verge"": {""present"": false, ""strength"": ""NONE""}, ""valley"": {""present"": false, ""strength"": ""NONE""}}, ""measurements"": {""lead_lm"": 0.0, ""tile_area"": 0.0, ""fascia_lm"": 0.0, ""soffit_lm"": 0.0, ""rwp_present"": false, ""gutter_flag"": false}, ""intents"": [], ""text_quant_hints"": {}, ""fields_filled"": {}, ""flags"": {""clean_gutter_intent"": false, ""elevation_mentions"": false, ""scaffold_mentions"": true, ""valley_present"": false, ""verge_present"": false}, ""candidate_ranks"": [{""code"": ""221001"", ""rank"": 1, ""score"": 1.0}], ""hashes"": {""text_hash"": ""c13792b5835f7eeb"", ""pack_hash"": ""dbda3b366ba3dfbb""}, ""text_preview"": ""needs scaffold up to check round both soil stacks\n \n \n \n \n \n \nNo""}",
